Ukrainian,Hutsul
"Навіть стіл цей, і той загарбаний","Навіть стів цес, і тамтой загарбаний."
Сюди треба було прийти,Сюди тре було з'євитси.
Шість верст від міста..,Шіст верст вид міста..
"Ну-ну, ще не час","Ну-ну, шє нє чєс."
Віднині ми будемо разом,Виттепер ми будемо разом.
Де він його бачив?!,Де вин го бачив?!
Розмова пливла собі далі,Балаканка пливла собі оподаль.
Обличчя його заплямилось рум'янцями,Тварь го заплямилось рум'янцями.
Але що гітлерівцям до великого німця,Айбо шо гітлерівцям ід великого німця.
"Хоч би хто був, але гречників треба попередити","Хоч би хьто був, айбо гречників тре запобігчи."
Чого від них хотіти,Чьо вид них бажь'ити.
І скільки переговорено тоді біля вогню,І кілько переговорено тогди пілє вогню.
— це дівчина радісно,— цисе чєрса радісно
"Та те, що він побачив, мало його втішило","Та тото, шо вин побачив, мало го втішило."
Таке щось наснилося мені,Таке шош наснилося мені.
"Недалеко від ярка починалися кущі — мала ділянка, але досить їх, щоб ховрахові сховатися; він там і присів","Блишшєлиси вид ярка починалися корчікє — мала пляц, айбо доста їх, абесте ховрахові сховатися; вин генде і присів."
"Хоч видно було, що товариш конає","Видко було, шо камрат конає."
"Але те було чорне""",Айбо тото було чорне.
З якої речі хата,З икої речі осєдочьок.
Саме вийшла до вітру…,Акурат вийшла ід вітру...
"Зараз, кому я сказав","Зараз, кому йа сказав."
"Фабіян сміявся до сліз, йому все ще ввижалися спотворені страхом обличчя заколотників","Фабіян смієвси ід сліз, йиму всьо шє ввижалися спотворені страхом тварь заколотників."
"Що ти мелеш, Даньку","Шо тьи мелеш, Даньку."
Це й була прогулянка,Цисе й була променад.
Вони просто навдивовижу м'які до нього,Уни просто навдивовижу м'які ід нього.
Я дивлюсь на годинника: мені пора,ЙА дивлюсь на годинника: мині мент.
Але життя не змінилось,Айбо житє не змінилось.
"Що ж вона пише?..""","Шо ж уна пише?..""."
"Це найтваринніша з людських ілюзій, саме тому, що вона найприродніша","Цисе найтваринніша з людських ілюзій, акурат тимунь, шо уна найприродніша."
Смішний цей край ДВК!.,Ші країчок ДВК!
Море в тебе дійсно шумить скрізь,Море в тє варе шумить изкрізь.
Але це від мене не залежить,Айбо цисе вид мене не залежить.
День шістнадцятий   Він живе у Канаді,Днина шістнадцятий   Вин жиєт у Канаді.
Вони ж нас з'їдять,Уни ж нас з'їдуть.
"Прогнати, чи хай сидять","Прогнати, ци хай сидєси."
Так він і вмер,Йо вин і вмер.
Бо води багато треба,Бо води велико тре.
"А пилки все-таки візьми,— перескочив я на інше, виймаючи яйця з кишень","А пилки всьо-прем озьми,— перескочив йа на инче, виймаючи покладки з кишень."
— Ось ваш Мельник,"""— Леда ваш Меннік""."
Нема чого йому боятися,Нима чьо йиму боєтиси.
Яке ж його походження,Яке ж го порекло.
Мені однак не повірять,Мині прецінь ни повірять.
"Кажу: ""Який мені рахунок","Ка'у: ""Який мині рахунок""."
"Я, правда, не один","Й це вірна правда, ни оден."
"""Якщо я помру, то щоб не пропала гвинтівка…""","Наколи йа помру, то абесте не пропала кріс…"
Вони дійшли до ярмарку,Уни дійшли ид ярмарку.
"— зосталась кров червона, як була","""— зосталась тирба черлена, як була""."
"Що там Діється в селі, Ревеко","Шо генде Траф'єїтси в селі, Ревеко: Шо генде Траф'єїтси в селі, Ревеко."
"Може, тобі якраз бракує познайомитися із своєрідним підходом до життя","Годен, тобі якрас бракує роззнакомитиси із своєрідним підходом ід житє."
— Що ти мені тут запакулив над вухом,— Шо тьи мині гир запакулив над вухом
"Але такий, від Бога…","Айбо такий, вид Бога…"
Ніби утікав від баченого,Отік утікав вид баченого.
Він був дуже огірчений,Вин був моц огірчений.
Це був четвертий день,Цисе був четвертий днина.
"А тому, що він любить землю","А тимунь, шо вин любить землю."
"""Що ж вони, в казанах печуть","Шо ж уни, в казанах печуть."
"А потім збагнув, чого вони хочуть","А витак збагнув, чого уни хоті."
Тут свято було перешкоджене,Гир сіцце було перешкоджене.
"— Куди діти, бог святий знає,— мовила вона, з силою штовхнувши раму","""— Куди ґіти, біг свєтий знаї,— мовила уна, з силою штовхнувши раму""."
— Тепер ось осей,"""— Тайпер леда осей""."
"Нехай б'є, вже недовго""","Най б'є, вже недовго."
"— Це й добре,— сказав Степан","""— Цисе й єлоси,— сказав Штіфан""."
І що значить жаль,І шо значить жили.
"Голова гуде, як і перше, але взагалі ніби нічого, ніби все нормально","Гола гуде, єк і перше, айбо взагалі отік нич, отік всьо нормально."
"Він поривається йти туди, до гурту, шукати їх","Вин поривається ити туди, ид гурту, шниріти їх."
"— витриваліша, ніж він","— витриваліша, брич вин."
"Ще там, у тайзі, якось забував про все","Шє гинде, у тайзі, йкос забував про всьо."
На момент світло дістало її обличчя: це був безвухий китаєць,На мент єсніскь дістало ї тварь: цисе був безвухий китаєць.
"Ми люди хороші, нам аби гроші","Ми люде хороші, нам би ґрейцер."
"Треба народові показати, куди вони гнуть","Тре народові роздиїти, куди уни гнуть."
Але він ненавидів місто,Айбо вин ни ненавидів місто.
"Хіба ж ти винна, що він…","Хіба ж тьи винна, шо вин…"
"Серед його пелюстків було темно, як у лісі","Мижи го пелюстків було темрйич, єк у лісі."
Бити його — однаково що німину,Піхати його — однаково шо німину.
Онде й знайомий війт з Кадубівки,Генде й знакомиця віт з Кадубівки.
"— Ой, корові пора дати кукурудзиння","— Ий, корові мент дати шумилина"
"Але подільська вулиця була, як і раніше, пустельна","Айбо подільська вулиця була, єк і давнійше, пустельна."
"Та ось вони впізнають Мальву, людніють, спалахують іскорками, щось промовляють до неї","Та леда уни впізнають Мальву, людніють, спалахують іскорками, шош промовляють ід ню."
— так просить дід,— йо просить ґідо.
"Ти дуже стомився, Прокопику","Тьи моц стомивсми, Прокопику."
"Я думала, він голіруч..","ЙА думала, вин голіруч.."
І яка ж вона була та земля смачна,І ика ж уна була та земня смашна.
Але це було хвилину,Айбо цисе було хвилину.
"— Я знаю, що ти відчуваєш","""— ЙА знаю, шо тьи відчуваєш""."
"Хлопець я був кріпкий і загвоздистий, думаю — чому це одне життя так собі котиться, а інше на м'яких перинах блохи трусить","Хлопець йа був кріпкий і загвоздистий, гадкую — чьо-сте цисе єдно житє йо собі котиться, а инче на м'яких перинах блохи трусить."
Ходіть же до хати..,"Ходіть же ід хати, бо вже темно стає."
Але він стримав себе,Айбо вин стримав си.
Я тебе й слухати не хочу,ЙА тє й слухати ни багну.
"Запорозькі козаки там, кажуть, жили раніш","Запорозькі козаки генде, говорєт, жерела раніш."
І ми колись виб'ємось,І ми колис виб'ємсь.
Це ти Маркса українізував,Цисе тьи Маркса українізував.
"Учитель трохи актор, лицедій","Учітель маленько актор, лицедій."
І інженер все обминув,І інджінір всьо обминув
"""О вічне людське серце!""",АДЬИ вічьне людське серце!
Це вони будують соціялізм!,Цисе уни будують сяціялізм!
"Батьки і діти — це єдине І нерозривне, мов життя","Стариня і ґіти — цисе єдине І нерозривне, гейби житє."
"— Я засміявся, але серце в цю мить огортав жаль","""— ЙИ засміявсми, айбо серце в цисю амент огортав жєль""."
"— Може, завтра, Вікторе","""— Годин, завтрі, Вікторе""."
Я помахав йому рукою,ЙА помахав йиму руков.
"Він, і правда, німець лютий, запеклий","Вин, і правда, шваб січник, запеклий."
— якби так спочатку,— коби йо спочатку.
— Я назвав йому своє прізвище,"""— ЙА назвав йиму своє порекло""."
Я вже її застав…,ЙА вже ї застав...
Але Гатило промовив зовсім не те,Айбо Гатило промовив прем не тото
"Видно, так і не тямило до кінця, чому — треба","Видко, шо то ни тямило ід кінця, чьо-сте — тре."
"А збиралися цим разом не так, як звичайно","А збиравси цим разом ни йо, єк ашіш."
Якраз дійшли до риски,Якрас дійшли ід риски.
"Бродяга нахилявся до землі, виривав травинку і пробував її жувати","Галайда нахилявсми-си до землі, виривав травинку і пробував ї жувати."
"— роки життя віддала б, тільки вернути те, що сталося","— роки житє віддала б, іно вернути тото, шо трафилося"
Він про це сказав,Вин про цисе сказав.
"Але погодьтесь, що діти швидко розчаровуються в грі..","Айбо погодьтесь, шо ґітє борзо розчаровуються в грі.."
"Тут йому було краще: видно, що робилося в ближніх підземеллях","Гир йиму було крашше: видко, шо робилося в ближніх підземеллях."
Ось вухо його вловлює якийсь звук,Леда вухо го вловлює йикийс звук.
"Кажіть кожному, хто певний","Кажи, ни бійси, бо я вже чув за тебе, шо ти за оден безвірок."
Я цього від вас не сподівалась,ЙА сего вид вас не сподівалась.
"— Ти хочеш випробувати героя-танкіста, чи не є він імперіяліст","""— Тьи хочеш висамувати героя-танкіста, ци не буют вин імперіяліст""."
А там що буде,А генде шо буде.
"Максим почав збиратися, пориваючись назустріч сонцеві","Максим єв избератиси, пориваючись зістріт сонцеві."
"""Капітане, — сказав я, — цей чоловік мій","""Капітане, — сказав йа, — цей хлоп мій""."
"Школа є школою, доки над нею добрий дах","Школа буют школою, доків над нею файний побій."
Хто ж це зробив,Хьто ж цисе зробив.
Тоді несподівано ворота рипнули й відчинились,Тогди напрасно воротє рипнули й відчинились.
Але що для вас п'ять років?,"""Айбо шо для вас п'єть літ?"""
"І він, спотикаючись, іде","І вин, спотикаючись, йдіт."
"Подумав єсмь тільки, чи..","Подумав єсмь іно, ци.."
Зелені до неможливого дерева й зовсім червона земля..,Зелені ід неможливого дерева й прем черлена земля..
Вона мусить бути залізна,Уна мусить абиде залізна.
"Гайном люди стануть, так чи інакше","Гай, гай! Люди стануть, йо ци инак"
Хай йому земля пером…,Хай йиму земля пером…
— Треба якось попередити цього дивака на картоплі,— Тре йкос запобігчи сего дивака на картоплі
Тільки від повітря весняної ночі пом'якшав його голос,Іно вид люфт весняної ночі пом'якшав го голос.
"Може, я стара, дурна…","Годен, йа стара, дурна…"
Вбіг зовсім молоденький поліцейський,Вбіг прем молоденький постерунковий.
Так нарекли її косарі,Йо нарекли ї косари.
"Мабуть, народився з крапель","Відав, родєўси з крапель."
"— Бо, може, я люблю його…","""— Бо, годен, йа люблю го…"""
"— але так і завмер, впевнившись, що то таки він","""— айбо йо і завмер, впевнившись, шо то прем вин""."
— Тоді хто ж цей Гейба,"""— Тогди хьто ж цес Гейба""."
Але вони не розпливались,Айбо уни не розпливались.
Ярень і тільки він,Ярінь і іно вун.
Його рідна хата в рідному місті..,Го ридна осєдочьок в рідному місті..
"Цікаво, як воно виглядить?","Вере, єк воно виглядить?"
"Ми прийняли вас тільки тому, що ви сирота","Ми прийняли вас іно тимунь, шо ви сирота."
"— Добре,— зітхнув Андрій","— Єлоси,— зітхнув Андрусик."
"Це настільки нудний чоловік, що немає йому під сонцем рівні","Цисе настільки нудний хлоп, шо не суть йиму під сонцем рівні."
злодії можуть підпалити її і вломитися до хати,Злоґійня могут підпалити ї і вломитися ід хати.
"А також зрозуміли, що він таки ось-ось збожеволіє","А також зрозуміли, шо вин прем леда-леда збожеволіє."
— Тепер заповивайте очі,"""— Тіпер заповивайте сліпаки""."
— Нічого йому ходити в героях,"""— Нич йиму нягати в героях""."
"Певно, відтоді він мене і їсть","Ретенно, відтогди вин мене і жре."
Не може відрізнити сторони,Не годен відрізнити сторони.
"Щастя величі може виникнути від піднесеності або чуття, або розуму","Шєстє величі годен виникнути вид піднесеності альбо чутє, альбо розуму."
Стоять вони і досі..,Стоять уни і досегодне..
— Весь світ про це знає,"""— Весь сьвіт про цисе знаї""."
Але хіба цього мало,Айбо хіба сего мало.
— Тому літ вісімнадцять,— Тимунь літ вісімнаціть.
Те видовище паралізувало навіть страх людський,Тото видовишшє паралізувало навіть під людський.
"Я пригадую, як одружувався мій товариш на фронті","ЙА пригадую, єк одружувався мий камрат на фронті."
"""Чому ж ми йдемо до ворогів?""",Чьо-сте ж ми підемо ід ворогів?
"Здається, і він галасував..","Отєк, і він галасував.."
Андрієві стало раптом страшно,Андрієві стало нараз пудно.
Тоді пожбурив пальто далі від берега,Тогди пожбурив пальто оподаль вид берега.
"А в тому, що..","И тимунь, шо.."
"Може, я погано бачу","Годен, йа погано бачу."
Тепер він трохи не почервонів від сорому за свій смак,Тай вин маленько ни почервонів вид сорому з-за свій ґуст.
"Люда поповніла, але все ще приваблива","Люда поповніла, айбо всьо шє приваблива."
"""Що, пак, сказав тоді той Кутузов?.","Шо, пак, сказав тогди тамтой Кутузов?."
"Я знала, що завтра, на тверезі очі, все бачитиметься інакшим","ЙА знала, шо завтре, на тверезі сліпаки, всьо бачитиметься інакшим."
"Та краще вже померти, ніж таке","Та крашше вже споч'іти, брич таке."
"— Отже, я є ваш слідчий","""— Отєж, йа буют ваш слідчий""."
"А до зупинки ще ж далеко, до джерела","А йд зупинкы шє ж майдалі, йд жерела."
"Чути, як чмихтять ніздрями","Чюти, єк чмихтять ніздрями."
Нехай я буду щасливою,Най йи буду щасливою.
Тоді ж у чому тільки спочинок?.,Тоді ж у чьо-сте іно спочинок?.
У мене вже є тут знайомі,У мене вже буют гир нашинські.
— Щоб ви пізнали новий порядок,— Абесте ви пізнали новенькєй ряд.
"У Рильського не те: свідок, але не холодний","У Рильського не тото: сьвідок, айбо не студений."
Хай тепер помучаться інші,Хай тіпер помучаться инчі.
Андрій втиснувся в дверцята,Андрусик втиснувся в дверціта.
Чи є що–небудь загадковіше за нього,Ци буют шо–небудь загадковіше за нього.
"Значить, ще не все","Значить, шє ни всьо."
"Денікінці вступають до Києва, чи що?.","Денікінці вступають ід Києва, ци шо?"
А тут саме революція,А гір акурат революція.
Бо як же так,Бо єк же йо.
"— Лук'ян — той, що ""за""","""— Луць — тамтой, шо ""за""""."
"В кімнаті спокійно і тихо, але нерви все більше наструнчуються","В кімнаті миром і ціхо, айбо нерви всьо бірше наструнчуються."
Там я прочитав рукопис,Генде йа прочитав рукопис.
— Що то є,"""— Шо, в хаті нима?"""
"Ну, так хочеш курити","Ну, йо хочеш пахтолити."
"— Так, будь ласка..","— Йо, будь кітячка.."
"Може, їй хотілося, щоб я ще раз назвав її Оленкою","Годен, їй хотілося, абесте йа шє раз назвав ї Оленкою."
Який обід без чарочки,Якой полудинок бес чарочки.
"За лісом починався луг, і там було ще досить видно","За лісом починавсми лонка, і генде було шє доста видко."
— Ще напишете щось..,— Шє напишите шош..
"""Якось то воно буде""|!","""Йкос там воно буде""|!"
"А йдуть, ідуть люди","А йдуть, йдуть люди."
"— Давай, хто швидше","""— Давай, хьто бірше""."
"Ти казав тоді, що це високе почуття невідоме нам, мурашкам…","Тьи казав тогди, шо цисе високе вражіння невідоме нам, мурашкам…"
Вони куталися в ті коци й тиснулися один до одного,Уни куталисми в тоти коци й тиснулисми оден ід одного.
"Вже, мабуть, десь поблизу..","Вже, відав, десь блиско.."
Або вивчити нову пісню!.,Альбо зучити нову пісня!
"Цікаво, скільки ж там тепер людей, якщо в одиночці 28?","Вере, кілько ж генде тіпер людей, наколи в одиночці 28?"
Це майже фетівське світовідчування у Рильського все-таки нестале,Цисе єкмай фетівське світовідчування у Рильського всьо-прем нестале.
Йому не хотілось їсти,Йиму не хотілось харчувати.
— Як там Павлюк,— Єк генде Павлюк.
Він хоче бути людиною,Вин хоче абиде людиною.
"Невідомо, як довго це він сидів","Невідомо, єк довго цисе вин сидів."
Ми привезли її сюди,Ми привезли ї сюди.
"Хоч далі, здається, уже й нікуди..","Хоч оподаль, отєк, уже й нікуди.."
"Погуляли ми сьогодні, батьку","Погуляли ми сьогодні, батечку."
Та йому цього мало,То йиму сего мало.
Йому було добре вже й так,Йиму було єлоси вже й йо.
Я там маю кімнату,"""ЙИ генде маю кімнату""."
Так що не давайте,"Шо йої, давайте."
Як же ти далі думаєш жити,Єк же тьи оподаль думаєш жити.
Але Григорій терпів мовчки,Айбо Гриць терпів мовчки.
"Ось вона, наша годувальниця","Леда уна, наша годувальниця."
— Що було далі,"""— Шо, оподаль було?"""
"Ми ж тебе повісимо""","""Ми ж тє повісимо""."
"Чи, мо', й тепер?.","Ци, мо', й тіпер?."
— Хто се є,— Хьто се буют.
А таки ж є..,А прем ж куплят..
"Казати, як я потрапив до табору","Казати, єк йа потрапив ід табори."
Що лишається після Рогволода,Шо лишаєцься післідь Рогволода.
"Ні, таки було холодно","Ні, прем було студіньов."
Христина йому все розповіла,Христина йиму всьо розповіла.
"— думав Григорій, — Ні, ясно""","""— гадав сми Гриць, — Ні, ага""."
"— Тринадцять ланкових і три музики!""","""— Тринаціть ланкових і тріє зузи!"""
Вони з батьком якісь там родичі,Уни з батьком якісь генде родичі.
Я писати не можу,Й шрайбати ні могу.
Зібралися родичі й знайомі,Зібралися фаміліянти й нашинскі.
— це сказав Роман,"""— цисе сказав Ромко""."
Я хочу слухати вас,ЙІ багну слухати вас.
З Прицького один чоловік,З Прицького оден хлоп.
Ще ж тільки початок,Ші ж іно початок.
Це був би рай,Цисе був би едем.
Потрапили саме на обід,Потрапили акурат на полуденок.
"— Ні, нехай завтра..","""— Ні, най завтрі..""."
"І Горобенко знову подумав, що це дуже добре","І Горобенко знову подумав, шо цисе моц добре."
"Тікай, бо тут лихо","Та ігі, бо гир бідо."
— спитав його Степан,"""— спитав го Штефан""."
"— Не жить мені, якщо це не він","""— Ни жить мині, наколи цисе ни вин""."
Повість ЧАСТИНА ПЕРША ОЙ ТРИ ШЛЯХИ ШИРОКІЇ Шумлять старезні дуби..,Повість БУКАТА ПЕРШЯ ИЙ ТРІЄ ШЛЯХИ ШИРОКІЇ Дуґонют старезні дуби..
"— У напарники мені, чи як","— У напарники ми, ци єк"
Це — казенне майно,Цисе — казенне талан.
— Тільки тиша німа,— Іно покі німа.
Та він не один,Та вин ни оден.
"Я відчув, що червонію","ЙА відчув, шо червонію."
Лавріниха не знає нічого,Лавріниха ни знаєт нич.
Смак влади — те ж саме,Ґуст влади — тото ж акурат.
Де ж той Роман?,Де ж тамтой Ромко?
"Що ти плетеш, хлопче?""","""Шо тьи плетеш, хлопче?""."
"— Ти що, Повсюдо","""— Тьи шо, Повсюдо""."
"— Дякую,— сказав я","""— Дєкую,— сказав йи""."
Бо зараз як встану,Би зараз єк встану.
"— Добрий день, Явтуше…","""— Файний днина, Явтуше…"""
Так від самого ранку,Йо вид самого ранку.
Було те скоро пополудні,Було тото борзо пополудні.
"Тепер знов до хати: притягся худющий, як хмизина","Тіпер знов ід хати: притягся худющий, як хмизина."
"У мене немає жодного плану, як це розповісти","У мене ни суть жодного плану, єк цисе виповістувати."
А її син — орел хлопець,А ї саняка — орел хлопець.
"Та постривай, щось скажу!.","Та постривай, шош вікажу!"
"І він, і жінка","І вин, і чілідина."
Наш будинок перевіряли ще минулого року,Наш хижа перевіряли шє минулого року.
"Тільки неговіркий, зовсім неговіркий","Іно неговіркі, прем неговіркі."
"""Хм, чого це вони","Хм, чого цисе уні"
"— Не треба про це думати,— сказав він","""— Не тре про цисе дуфати,— сказав вун""."
Було якесь релігійне свято,Було йкес релігійне сіцце.
А як же ми,А єк то ми.
"Вибравшись над яр, людина йде навпростець","Вибравшись над шанець, людьина йде напопереки."
Ось-ось він втратить рівновагу й тоді..,Леда-леда вин втратить рівновагу й тоди..
— Це ж хто,— Цисе ж хьто.
— І як це я не помітив його,— І єк цисе йа не помітив го
"Веде його молодий комісар, товариш Данило Чабан, цвіте липа так буйно й розкішно, що все місто плаває в задушливому мареві","Веде го книзь комісарь, камрат Даньо Ботей, процвитає липа йо буйно й розкішно, шо всьо місто плаває в задушливому мареві."
"Але стримати, бачать, несила","Айбо стримати, видє, німєжа."
"""Ага, он воно що","Ага, адьи воно шо"
— А я що,— А йа шо?
"Він хотів розвідати ""чому?""","Вин хотів розвідати ""чьо-сте?"""
"Ти візьмеш його, Марченко","Тьи візьмеш го, Марченко."
Через те й образа,Чіріз тото й образа.
"Сто чортів, як він міг про це досі не написати","Сотка чортів, єк вин міг про цисе досегодне ни написати."
Ось вона — свята мить натхнення,Леда уна — свята амент натхнення.
І тепер грає тому місяцеві сонату..,І тимунь грає тому місяцеві сонату..
"Ти кажеш, що воно скрізь шумить","Тьи кажиш, шо воно изкрізь шуміт."
А надворі так гарно,А надворі йо айно.
— І вам не хочеться взнати ім'я ворога,"""— І вам ни кортит візнати мнє ворога""."
Так я зрозумів їх,Йо йи зрозумів їх.
А побий тебе лихо,А побий тє бідо
"Мене знов огорнув жах, але я все-таки присилував себе писати","Мене знов огорнув жах, айбо йа всьо-прем присилував себе шрайбати."
Після того привезли назад..,Післідь того привезли взад..
"Ось я трошки постою, подивлюсь, куди мені йти","Леда йа трошко постою, подивлюсь, куди мені ити."
Але кішок оцих тільки ми ловимо,Айбо кішків оцих іно ми ловимо.
А ми сяк-так перебиваємось,А ми сяк-йо перебиваємось.
Мене всю аж у жар кинуло,Мине всу аш у грань кинуло.
Ось вони — горожани,Леда уни — горожани.
Про що ми розмовляли,Про шо ми розмовляли.
"""Де я його бачив?!",Де йа го бачив?!
"Думав і мучився: ""Навіщо?.","Гадав сми і мучився: ""Нашьо?."""
Сюди навпростець від нас,Сюди напопереки від нас.
"Там і діток, кажуть, половина ваших","Генде і діток, говорєт, чвертка ваших."
"— Сім'я ще, мабуть, тут, якщо не відправив у Татарбунари","""— Сім'я шє, відав, гир, наколи не відправив у Татарбунари""."
Тепер у його хаті живуть Липські,Тіпер у го хаті живуть Липські.
"""Де я його бачив?!""","""Де йа го бачив?!"""
"— Зупинився: — А може, й справді Люба ще тут?.","""— Зупинивсми: — А годен, й варе Люба шє гир?."""
"Ти її не знаєш""","""Тьи ї не знаєш"""
Вони стягнуть моментально сили,Уни стягнуть один мент сили.
Я тебе не чіпатиму,Й там тє не чіпатиму.
Я так давно чекаю на вас,Йой єк давно чекаю на вас.
Коли він її так мистецьки вкрав?,Коли вин ї йо мистецьки вкрав?
"— додав він.— Мені, наприклад, зовсім ніколи читати","""— додав вин.— Мині, наприклад, прем ніколи чітати""."
Тягся до неї з усієї сили,Тягся ід ню з усієї сили.
Так і до чужинців,Йой і йд чужинців.
"Вони були, мабуть, одні тут на все це мертве місто","Уни були, відав, одні гир на всьо цисе мертве місто."
Але наміру цього свого не здійснив,Айбо наміру сего своєго ни здійснив.
— Що є стало,"— Шо, буют стало?"
Адже ж він має якусь дівчину?.,Прецінь ж вин має якусь дівчину?.
"До того ж завтра свято, позавтра неділя — треба розважатись","Ід того ж завтре сіцце, позавтра неділєчька — тре розважатись."
"— Та я кинув інститут,— ніяково признався Степан","""— Та йа верх інститут,— омпно признавсми Штефан""."
Він щось пристрасно нашіптував,Вин шош пристрасно нашіптував.
Завжди весна й журавлі — це одна мелодія,У’одно весна й журавлі — цисе онна мельодія.
"Всюди квіти, на землі і вгорі","Изкрізь цвіти, на землі і вгорі."
"Пальці змерзли, аж зашпори заходять; довелося снігом розтирати","Пушки змерзли, аш запарі заходять; ялося снігом розтирати."
Хата стала як хата,Осєдочьок стала як осєдочьок.
Іншому б яке діло до мене?.,Іншому б яке інтерес ид мене?.
Ти ознайомився з ділом,Тай тьи роззнакомиси з ділом.
"— Зосько, я давно про щось думаю,— сказав він захоплено","""— Зосько, йа давніше про шош думаю,— сказав вин захоплено""."
Але як вона могла так зрадливо скористуватись його шляхетним поривом,Айбо єк уна могла йо зрадливо скористуватись го шляхетним поривом.
"Я подумав, що життя мусить поліпшитися","Й я цес очінаш цілком ни розумів, тимунь він и мині уритивси говорити, але за бабов мусів говорити, бо то було нипроше."
"Бистроока цвіла, як мак","Бистроока цвіла, єк сіннячко."
Треба витирати останні плями,Тре витирати послідні плями.
"Ось-ось цей слід повернув по траві, обминаючи військо","Леда-леда цєс пощік повернув по траві, обминаючи восько."
"— А це жінка, товариш Домірель","""— А цисе чілідина, камрат Домірель""."
"Але тепер вона була ясна-ясна, мерехтлива","Айбо тіпер уна була ясна-ясна, мерехтлива."
"Правда, вони ще раби, але такі швидше перестануть бути рабами","Правда, уни шє раби, айбо такі борше перестануть абиде рабами."
"Що вони приклали перед тим Сизові до носа, важко сказати","Шо уни приклали перед тим Сизові ід носа, тєжко зговорити."
А скільки я ще ряситиму ними!.,А кіліко йа шє ряситиму ними!.
"Крок уперед, крок назад..","Крок вперід, крок взад.."
"— Це ти, Шварце","""— Циси тьи, Шварце""."
Потім він сказав промову,Витак він говорив промову.
"Бачу, ти шинель узяв, усе взяв…","Бачу, тьи мантля узяв, капєц взяв…"
Ми почули його лайку,Почули го лайку.
— Коли це я був там,— Коли цисе йа був генде
Було прикро і шкода себе: я ж так добре почав,Було прикро і жєль себе: йа ж йо єлоси єв.
Як відаєш про те,Єк відаєш про тото.
"Є, он, із санчатами","БУЮТ, адьи, із санчатами."
"Він безтурботний, як усі","Вин безтурботний, як усі."
"— Е, за що там дякувати","""— Ий, за шо генде дєкувати""."
В одинадцять біля млина,В одинаціть пілє млина.
— Хто вшивав хату до мене,— Хьто вшивав хату ід мене.
"Надто ж нахлистався її він, Петро","Надто ж нахлиставсми ї вин, Петро."
"Він, певно, згадав, як його клали на землю отаким посвистом","Вин, ретенно, згадав, як го клали на землю отаким посвистом."
"Може, він розіб'є голову об мур..","Годен, вин розіб'є голову об мур.."
"— Можливо, що був такий чоловік","""— Бізівно, шо був такий хлоп""."
"Прочитав, і вже його не переконаєш, що це не так","Прочитав, і вже го не переконаєш, шо цисе не йо."
"Хтозна, з обличчя Сафигіна нічого не можна вичитати","Хтозна, з тварь Сафигіна нич не можна вічєтати."
— Завтра я вже йду зовсім…,"""— Завтре йа вже йду прем…"""
Вона хотіла заховати усмішку,Уна хотіла забарити усмішку.
"Я думаю, що вам взагалі немає сенсу тікати","ЙА гадкую, шо вам взагалі не суть сенсу тікати."
Це був комісар бригади,Цисе був комісарь бригади.
— Не ходи тут,"""— Ни ходьи гир""."
"— Це відповідає істині,— відповів я","""— Цисе відповідаї істині,— відповів йа""."
— А я відаю,— А йа свідім.
"Вона, ця жадана перемога, була недалеко","Уна, ся жадана перемога, була блишче."
Щось від мене ховали,Шош вид мене ховали.
Все те не має ніякого значення..,Всьо тото ни має ніякого значіннє..
Старий майстер знав багато,Старий бештифрант знав велико.
— це батько урочисто,"""— цисе дґідик урочисто""."
— Отрок сей те саме рік,— Отрок сей тото акєрат рик
Мандрував так до півночі,Мандрував йо ід півночі.
В мене шинеля є,В мене шинелі буют.
"У мене немає жодної мети розповіді, але я не знаю, чому вона мене жахливо гнітить, і я мушу її розповісти","У мене ни суть жєдної мети повісти, айбо йа не знаю, чьо-сте уна мене жахливо гнітить, і йа мусю ї виповістувати."
